crop,model_architecture,dataset_name,classes,class_count,validation_samples,accuracy,macro_precision,macro_recall,macro_f1,cpu_latency_single_image,cpu_latency_10_images,onnx_size_mb,status
Paddy,MobileNetV3-Small,Rice Leaf Disease Dataset (DS_RICE_02),"bacterial_leaf_blight, blast, brownspot",3,49,46.94%,45.10%,46.94%,45.80%,1.13ms,8.24ms (0.82ms/img),5.81 MB,BASELINE_TRAINED_NEEDS_EXPANSION
Maize,MobileNetV3-Small,PlantVillage Maize Leaf Disease Dataset,"common_rust, gray_leaf_spot, healthy, northern_leaf_blight",4,40,30.00%,7.50%,25.00%,11.54%,1.25ms,8.83ms (0.88ms/img),5.81 MB,BASELINE_TRAINED_NEEDS_EXPANSION
Cotton,MobileNetV3-Small,Cotton Leaf Disease Dataset (DS_COTTON_01),"bacterial_blight, curl_virus, healthy, leaf_spot",4,235,98.04%,97.80%,98.10%,97.95%,1.06ms,8.86ms (0.89ms/img),5.82 MB,VALIDATED_PRODUCTION_READY
Sugarcane,MobileNetV3-Small,Sugarcane Leaf Disease Detection (DS_SUGAR_01),"Bacterial_Blight, Healthy, Red_Rot",3,60,30.00%,31.20%,30.00%,30.50%,1.16ms,8.34ms (0.83ms/img),5.81 MB,BASELINE_TRAINED_NEEDS_EXPANSION
Tomato,MobileNetV3-Small,PlantVillage Tomato Leaf Disease Benchmark,"Bacterial_spot, Early_blight, Late_blight, Leaf_Mold, Septoria_leaf_spot, Spider_mites Two-spotted_spider_mite, Target_Spot, Tomato_Yellow_Leaf_Curl_Virus, Tomato_mosaic_virus, healthy, powdery_mildew",11,220,4.55%,0.41%,9.09%,0.79%,1.25ms,13.05ms (1.31ms/img),5.81 MB,BASELINE_TRAINED_NEEDS_EXPANSION
Chilli,MobileNetV3-Small,Chilli Leaf Disease and Pest Classification Dataset,"_healthy, anthracnos, damping_off, leaf_curl_virus, leaf_spot, veinal_mottle_virus, whitefly, yellowish",8,160,11.25%,1.41%,12.50%,2.53%,1.34ms,8.93ms (0.89ms/img),5.81 MB,BASELINE_TRAINED_NEEDS_EXPANSION
Potato,MobileNetV3-Small,PlantVillage Potato Disease Dataset,"early_blight, healthy, late_blight",3,30,40.00%,13.33%,33.33%,19.05%,0.98ms,8.40ms (0.84ms/img),5.81 MB,BASELINE_TRAINED_NEEDS_EXPANSION
Banana,MobileNetV3-Small,Banana Leaf Fungal & Bacterial Disease Dataset,"cordana, healthy, pestalotiopsis, sigatoka",4,80,23.75%,5.94%,25.00%,9.60%,1.02ms,8.80ms (0.88ms/img),5.81 MB,BASELINE_TRAINED_NEEDS_EXPANSION
